time,x,y,yaw,desired_heading,CTE,ATE,left_vel,right_vel,P,I,D
00:10:35.140,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,35.657,84.343,-22.2201,-0.585517,-1.53733
00:10:35.392,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,46.5532,73.4468,-22.2201,-0.16801,8.94138
00:10:35.644,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,39.0925,80.9075,-22.2201,-0.167956,1.48057
00:10:35.896,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.857,82.143,-22.2201,-0.16798,0.245132
00:10:36.148,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6525,82.3475,-22.2201,-0.16798,0.0405855
00:10:36.400,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6186,82.3814,-22.2201,-0.168017,0.00671835
00:10:36.653,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.613,82.387,-22.2201,-0.168024,0.00111209
00:10:36.906,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6119,82.3881,-22.2201,-0.168182,0.00018394
00:10:37.157,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6121,82.3879,-22.2201,-0.167851,3.04737e-05
00:10:37.411,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6114,82.3886,-22.2201,-0.16849,5.03267e-06
00:10:37.661,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6124,82.3876,-22.2201,-0.167467,8.35369e-07
00:10:37.916,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6117,82.3883,-22.2201,-0.168134,1.38203e-07
00:10:38.166,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6118,82.3882,-22.2201,-0.168031,2.2876e-08
00:10:38.418,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6119,82.3881,-22.2201,-0.167949,3.78807e-09
00:10:38.671,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6106,82.3894,-22.2201,-0.169319,6.23032e-10
00:10:38.926,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6133,82.3867,-22.2201,-0.166621,1.03854e-10
00:10:39.174,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6118,82.3882,-22.2201,-0.16803,1.71905e-11
00:10:39.424,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6121,82.3879,-22.2201,-0.167799,2.84873e-12
00:10:39.677,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6118,82.3882,-22.2201,-0.168037,4.71519e-13
00:10:39.933,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6117,82.3883,-22.2201,-0.16819,7.79864e-14
00:10:40.181,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6122,82.3878,-22.2201,-0.16771,1.29293e-14
00:10:40.433,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6119,82.3881,-22.2201,-0.167972,2.14074e-15
00:10:40.688,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6116,82.3884,-22.2201,-0.168243,3.53972e-16
00:10:40.937,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6121,82.3879,-22.2201,-0.167741,5.86754e-17
00:10:41.189,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6119,82.3881,-22.2201,-0.16798,9.71466e-18
00:10:41.444,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6117,82.3883,-22.2201,-0.168227,1.60645e-18
00:10:41.696,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6118,82.3882,-22.2201,-0.168053,2.65878e-19
00:10:41.949,-7.93102,-8.96447,-159.125,169.047,3.88684,-7.03312,37.6119,82.3881,-22.2201,-0.168019,4.40118e-20
