time,x,y,yaw,desired_heading,CTE,ATE,left_vel,right_vel,P,I,D
00:13:25.540,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.1325,65.8675,-5.3558,-0.141108,-0.370601
00:13:25.792,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,56.7589,63.2411,-5.3558,-0.0404951,2.15521
00:13:26.045,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.9605,65.0395,-5.3558,-0.0404903,0.35682
00:13:26.296,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6628,65.3372,-5.3558,-0.0404884,0.059078
00:13:26.548,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6135,65.3865,-5.3558,-0.0404874,0.00978163
00:13:26.801,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6053,65.3947,-5.3558,-0.0405166,0.00161858
00:13:27.053,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.604,65.396,-5.3558,-0.0404838,0.000268011
00:13:27.307,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.040542,4.4325e-05
00:13:27.557,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6038,65.3962,-5.3558,-0.0404445,7.34545e-06
00:13:27.809,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0404921,1.21608e-06
00:13:28.061,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0404726,2.01409e-07
00:13:28.313,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0405108,3.33314e-08
00:13:28.565,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0404877,5.51869e-09
00:13:28.819,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0405241,9.13046e-10
00:13:29.069,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6038,65.3962,-5.3558,-0.0404359,1.51335e-10
00:13:29.321,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0405085,2.50458e-11
00:13:29.573,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0404879,4.14683e-12
00:13:29.828,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6036,65.3964,-5.3558,-0.0405607,6.8556e-13
00:13:30.077,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6038,65.3962,-5.3558,-0.0404436,1.13611e-13
00:13:30.334,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0405433,1.87892e-14
00:13:30.581,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6038,65.3962,-5.3558,-0.0404078,3.11606e-15
00:13:30.833,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0404925,5.15875e-16
00:13:31.085,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6037,65.3963,-5.3558,-0.0404955,8.53999e-17
00:13:31.342,-17.8863,-7.87124,-157.312,-164.984,0.151061,2.25915,54.6036,65.3964,-5.3558,-0.0405975,1.41078e-17
