time,x,y,yaw,desired_heading,CTE,ATE,left_vel,right_vel,P,I,D
00:09:58.786,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,80.4919,39.5081,18.6544,0.45952,1.37795
00:09:58.836,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,56.0546,63.9454,18.6544,0.0279848,-22.6277
00:09:58.886,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,67.3696,52.6304,18.6544,0.0279872,-11.3127
00:09:58.936,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,73.0286,46.9714,18.6544,0.0280068,-5.65382
00:09:58.986,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,75.8544,44.1456,18.6544,0.0279601,-2.828
00:09:59.037,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,77.2847,42.7153,18.6544,0.0286079,-1.39835
00:09:59.086,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,77.9748,42.0252,18.6544,0.0273619,-0.707004
00:09:59.136,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.3288,41.6712,18.6544,0.0279732,-0.353555
00:09:59.186,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.5056,41.4944,18.6544,0.0279866,-0.176762
00:09:59.236,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.594,41.406,18.6544,0.0279693,-0.0884003
00:09:59.286,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.6382,41.3618,18.6544,0.0280078,-0.0441794
00:09:59.336,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.6603,41.3397,18.6544,0.0279626,-0.0220972
00:09:59.386,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.6713,41.3287,18.6544,0.0279748,-0.0110499
00:09:59.436,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.6769,41.3231,18.6544,0.0279846,-0.00552467
00:09:59.486,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.6796,41.3204,18.6544,0.0279801,-0.00276241
00:09:59.536,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.681,41.319,18.6544,0.0279846,-0.00138113
00:09:59.586,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.6817,41.3183,18.6544,0.0279781,-0.000690608
00:09:59.636,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.682,41.318,18.6544,0.0279874,-0.000345268
00:09:59.686,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.6822,41.3178,18.6544,0.0279756,-0.000172653
00:09:59.736,-1.99105,-2.29578,-70.6875,-43.967,-2.54578,1.65949,78.6823,41.3177,18.6544,0.0279797,-8.63292e-05
